;Codigo;Nome;Preco;VolumeMedio;DividendYield;PatrimonioLiq;P/VP;Cotas;Segmento;Valorizacao12Meses
PATC11;PATC11;PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII;R$ 99,87;3.353;0,30%;R$ 150 mi;1,00;1.502.052;N/A;0.0
PLRI11;PLRI11;POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I;R$ 63,00;248;0,76%;R$ 73 mi;0,82;954.304;Títulos e Val. Mob.;-0.14
PORD11;PORD11;POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII;R$ 105,60;1.186;0,00%;R$ 100 mi;1,01;1.000.000;Títulos e Val. Mob.;-0.02
PQDP11;PQDP11;FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;R$ 3.029,92;40;0,40%;R$ 700 mi;1,03;238.477;Shoppings;0.1
PRSV11;PRSV11;FDO INV IMOB - FII PRESIDENTE VARGAS;R$ 375,00;317;0,61%;R$ 79 mi;0,92;195.000;Lajes Corporativas;0.0
RBBV11;RBBV11;JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII;R$ 83,20;1.229;1,00%;R$ 130 mi;0,83;4.000.00;Títulos e Val. Mob.;0.0
RBCB11;RBCB11;RIO BRAVO CRÉDITO IMOBILIÁRIO I FDO INV IMOB;R$ 191,00;90;0,11%;R$ 2,1 mi;4,72;53.100;Outros;-0.79
RBDS11;RBDS11;RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII;R$ 194,60;78;0,94%;R$ 22 mi;1,11;37.957;Residencial;-0.63
RBGS11;RBGS11;RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII;R$ 43,57;751;0,23%;R$ 100 mi;0,47;1.078.000;Shoppings;-0.07
RBRD11;RBRD11;RB CAPITAL RENDA II FDO INV IMOB - FII;R$ 91,91;1.026;0,57%;R$ 140 mi;1,18;1.851.786;Híbrido;0.04
RBRF11;RBRF11;FDO INV IMOB RBR ALPHA FUNDOS DE FUNDOS;R$ 103,48;8.635;0,79%;R$ 160 mi;1,04;809.992;Títulos e Val. Mob.;-0.0
RBRR11;RBRR11;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;R$ 108,00;13.693;0,62%;R$ 260 mi;1,13;1.480.432;Títulos e Val. Mob.;0.0
RBVO11;RBVO11;RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII;R$ 43,03;794;0,46%;R$ 28 mi;0,79;516.066;Outros;-0.08
RDES11;RDES11;RENDA DE ESCRITÓRIOS FDO INV IMOB - FII;R$ 70,89;315;0,07%;R$ 61 mi;0,86;742.000;Lajes Corporativas;-0.09
RDPD11;RDPD11;BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;R$ 84,02;706;0,49%;R$ 100 mi;0,86;1.078.042;Títulos e Val. Mob.;0.0
RNDP11;RNDP11;BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII;R$ 960,00;29;0,54%;R$ 120 mi;0,89;107.481;Títulos e Val. Mob.;0.03
RNGO11;RNGO11;FDO INV IMOB RIO NEGRO - FII;R$ 84,37;3.126;0,58%;R$ 250 mi;0,90;2.676.000;Lajes Corporativas;0.01
SAAG11;SAAG11;SANTANDER AGÊNCIAS FDO INV IMOB - FII;R$ 121,37;7.119;0,74%;R$ 510 mi;1,35;4.014.340;Outros;0.03
SAIC11B;SAIC11B;FDO INV IMOB - FII SIA CORPORATE;R$ 56,00;2;0,00%;R$ 110 mi;0,70;650.000;Lajes Corporativas;0.0
SCPF11;SCPF11;FDO INV IMOB SCP;R$ 11,08;1.500;0,36%;R$ 48 mi;0,97;42000;Shoppings;0.03
SDIL11;SDIL11;SDI LOGÍSTICA RIO FDO INV IMOB - FII;R$ 104,51;11.557;0,63%;R$ 320 mi;1,13;1.438.853;Logística;-0.01
SHPH11;SHPH11;FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS;R$ 922,00;117;0,40%;R$ 430 mi;1,30;400.000;Shoppings;0.02
SPTW11;SPTW11;SP DOWNTOWN FDO INV IMOB - FII;R$ 87,20;2.982;0,69%;R$ 140 mi;1,15;1.798.000;Lajes Corporativas;0.02
TBOF11;TBOF11;FDO INV IMOB - FII TB OFFICE;R$ 82,00;5.393;0,23%;R$ 880 mi;0,94;10.050.000;Lajes Corporativas;0.1
TFOF11;TFOF11;CSHG TOP FOFII FDO INV IMOB - FII;R$ 1.297,99;41;0,00%;R$ 100 mi;1,06;5.000;Títulos e Val. Mob.;0.0
TGAR11;TGAR11;FDO INV IMOB TG ATIVO REAL;R$ 125,76;6.411;0,66%;R$ 130 mi;1,03;713.404;Outros;0.05
