;codigo;titulo;endereco;bairro;estado;cidade;area
VSHO11;VSHO11;SHOPPING BAY MARKET;Av. Visconde do Rio Branco, 360;Centro;RJ;Niterói;12.043,00 m2
VSHO11;VSHO11;SHOPPING HORTOLÂNDIA;R. José Camilo de Camargo, 5;Remanso Campineiro;SP;Hortolândia;20.055,00 m2
VSHO11;VSHO11;SHOPPING VALINHOS;R. Paiquerê, 200;Jardim Paiquere;SP;Valinhos;13.728,00 m2
WPLZ11;WPLZ11;Shopping West Plaza;Avenida Francisco Matarazzo;Água Branca;SP;São Paulo;33.799,34 m2
XPCM11;XPCM11;The Corporate;Av. Prefeito Aristeu Ferreira da Silva, 370;Bairro dos Cavaleiros;RJ;Macaé;18.641,00 m2
XPIN11;XPIN11;Centro Empresarial Atibaia (CEA);Av. Tégula, 444;Pte. Alta;SP;Atibaia;17.175,00 m2
XPIN11;XPIN11;Condomínio Barão de Mauá;Pte. Alta;Pte. Alta;SP;Atibaia;50.679,00 m2
XPLG11;XPLG11;CD Dia%;Rua João de Padula, 245;Vila Bertini;SP;Americana;30.098,00 m2
XPLG11;XPLG11;CD Dia% Ribeirão;Via José Luiz Galvão, 1.905;Bom Jesus;SP;Ribeirão Preto;21.136,00 m2
XPLG11;XPLG11;CD Leroy;Rod. dos Bandeirantes, KM 34;Condomínio Vila Verde;SP;Cajamar;110.163,00 m2
XPLG11;XPLG11;CD Panasonic;Estrada Municipal do Mandu, 250;Santa Inês;MG;Itapeva;23.454,00 m2
XPLG11;XPLG11;CD Via Varejo;Rua Lenine Queiroz, 333;Distrito Industrial;RS;Cachoeirinha;38.410,00 m2
XPML11;XPML11;Catarina Fashion Outlet;Rodovia Castello  Branco, km. 60;;SP;São Roque;29.506,00 m2
XPML11;XPML11;Caxias Shopping;Rodovia Washington Luiz, 2.895;Parque Duque;RJ;Duque de Caixas;25.558,00 m2
XPML11;XPML11;Parque Shopping Belém;Rodovia Augusto Montenegro, 4.300;Parque Verde;PA;Belém;28.676,00 m2
XPML11;XPML11;Shopping Bela Vista;Alameda  Euvaldo Luz,  92;Horto Bela Vista;BA;Salvador;50.241,00 m2
XPML11;XPML11;Shopping Cidade Jardim;Av. Magalhães de  Castro, 12.000;Cidade Jardim;SP;São Paulo;37.671,00 m2
XPML11;XPML11;Shopping Cidade São Paulo;Av. Paulista, 1230;Bela Vista;SP;São Paulo;16.619,00 m2
XPML11;XPML11;Shopping Ponta Negra;Av. Coronel Teixeira,  5705;Ponta Negra;AM;Manuas;36.615,00 m2
XTED11;XTED11;Atlântico Office;Avenida Rui Barbosa, nº 2390;Cajueiros;RJ;Macaé;7.012,00 m2
